<UNK> 1.0	SPN
කුණාටුවලින් 1.0	k u n a: t u w @ l i n
කුණු 1.0	k u n u
කුණුකය 1.0	k u n u k @ y @
කුණුහරප 1.0	k u n u h @ r @ p @
කුණුහරපය 1.0	k u n u h @ r @ p @ y @
කුණුහරුප 1.0	k u n u h @ r u p @
කුණුහරුපයක් 1.0	k u n u h @ r u p @ y a k
කුණුහරුපෙන් 1.0	k u n u h @ r u p e n
කුතුහලට 1.0	k u t^ u h @ l @ t @
කුතුහලය 1.0	k u t^ u h @ l @ y @
කුතුහලයක් 1.0	k u t^ u h @ l @ y a k
කුතුහලයට 1.0	k u t^ u h @ l @ y @ t @
කුතුහලයෙන් 1.0	k u t^ u h @ l @ y e n
කුද 1.0	k u d^ @
කුදලාගෙන 1.0	k u d^ @ l a: g e n @
කුදිරමලේ 1.0	k u d^ i r @ m @ l e:
කුදුමහත් 1.0	k u d^ u m @ h a t^
කුන 1.0	k u n @
කුනාටු 1.0	k u n a: t u
කුනාටුවකට 1.0	k u n a: t u w @ k @ t @
කුනු 1.0	k u n u
කුනුගොඩවල් 1.0	k u n u g o d @ w a l
කුනුහරුප 1.0	k u n u h @ r u p @
කුනුහරුපයක් 1.0	k u n u h @ r u p @ y a k
කුප්ප 1.0	k u p p @
කුප්පි 1.0	k u p p i
කුප්පියක් 1.0	k u p p i y a k
කුපාඩි 1.0	k u p a: d i
කුපාඩියෝ 1.0	k u p a: d i y o:
කුපාඩී 1.0	k u p a: d i:
කුපිත 1.0	k u p i t^ @
කුමකට 1.0	k u m @ k @ t @
කුමක් 1.0	k u m a k
කුමක්දෝ 1.0	k u m a k d^ o:
කුමකින් 1.0	k u m @ k i n
කුමට 1.0	k u m @ t @
කුමණ්ත්‍රනයක් 1.0	k u m a n t^ t^ r @ n @ y a k
කුමන 1.0	k u m @ n @
කුමන්තරණ 1.0	k u m a n t^ @ r @ n @
කුමන්ත්‍රණ 1.0	k u m a n t^ t^ r @ n @
කුමන්ත්‍රණය 1.0	k u m a n t^ t^ r @ n @ y @
කුමන්ත්‍රණයක් 1.0	k u m a n t^ t^ r @ n @ y a k
කුමන්ත්‍රණයකින් 1.0	k u m a n t^ t^ r @ n @ y @ k i n
කුමර 1.0	k u m @ r @
කුමරකු 1.0	k u m @ r @ k u
කුමරා 1.0	k u m @ r a:
කුමරාගේ 1.0	k u m @ r a: g e:
කුමරු 1.0	k u m @ r u
කුමරුගෙ 1.0	k u m @ r u g e
කුමරුගේ 1.0	k u m @ r u g e:
කුමරුට 1.0	k u m @ r u t @
කුමරුන් 1.0	k u m @ r u n
කුමරුන්ට 1.0	k u m @ r u n t @
කුමාර 1.0	k u m a: r @
කුමාරණතුංගත් 1.0	k u m a: r @ n @ t^ u x g a t^
කුමාරතුංග 1.0	k u m a: r @ t^ u x g @
කුමාරදාස 1.0	k u m a: r @ d^ a: s @
කුමාරයකු 1.0	k u m a: r @ y @ k u
කුමාරයට 1.0	k u m a: r @ y @ t @
කුමාරයත් 1.0	k u m a: r @ y a t^
කුමාරයා 1.0	k u m a: r @ y a:
කුමාරයාගෙන් 1.0	k u m a: r @ y a: g e n
කුමාරයාගේ 1.0	k u m a: r @ y a: g e:
කුමාරයාට 1.0	k u m a: r @ y a: t @
කුමාරයාණෙනි 1.0	k u m a: r @ y a: n e n i
කුමාරයාත් 1.0	k u m a: r @ y a: t^
කුමාරයාව 1.0	k u m a: r @ y a: w @
කුමාරයි 1.0	k u m a: r a y i
කුමාරයෙක් 1.0	k u m a: r @ y e k
කුමාරයෙක්ව 1.0	k u m a: r @ y e k w @
කුමාරයෙකුට 1.0	k u m a: r @ y e k u t @
කුමාරයෙනි 1.0	k u m a: r @ y e n i
කුමාරලා 1.0	k u m a: r @ l a:
කුමාරවරු 1.0	k u m a: r @ w @ r u
කුමාරවරුන් 1.0	k u m a: r @ w @ r u n
කුමාරස්වාමි 1.0	k u m a: r a s w a: m i
කුමාරස්වාමී 1.0	k u m a: r a s w a: m i:
කුමාරසිංහ 1.0	k u m a: r @ s i x h @
කුමාර් 1.0	k u m a: r
කුමාරෝත්පත්තිය 1.0	k u m a: r o: t^ p a t^ t^ i y @
කුමුදුමලී 1.0	k u m u d^ u m @ l i:
කුයින්ට 1.0	k u y i n t @
කුරගල 1.0	k u r @ g @ l @
කුරහං 1.0	k u r @ h a x
කුරහන් 1.0	k u r @ h a n
කුරාණය 1.0	k u r a: n @ y @
කුරානේ 1.0	k u r a: n e:
කුරාම් 1.0	k u r a: m
කුරාම්ට 1.0	k u r a: m t @
කුරු 1.0	k u r u
කුරුකුලසිංහම් 1.0	k u r u k u l @ s i x h a m
කුරුට්ටන්ට 1.0	k u r u t t a n t @
කුරුටු 1.0	k u r u t u
කුරුදු 1.0	k u r u d^ u
කුරුබිලි 1.0	k u r u b i l i
කුරුමානම් 1.0	k u r u m a: n a m
කුරුමිට්ටන් 1.0	k u r u m i t t a n
කුරුමිට්ටෝ 1.0	k u r u m i t t o:
කුරුමිණියාගේ 1.0	k u r u m i n i y a: g e:
කුරුමිණියෙක් 1.0	k u r u m i n i y e k
කුරුමිනියෙක් 1.0	k u r u m i n i y e k
කුරුල්ලන් 1.0	k u r u l l a n
කුරුල්ලා 1.0	k u r u l l a:
කුරුල්ලාගෙනුත් 1.0	k u r u l l a: g e n u t^
කුරුල්ලාගේ 1.0	k u r u l l a: g e:
කුරුල්ලාට 1.0	k u r u l l a: t @
කුරුල්ලෙක් 1.0	k u r u l l e k
කුරුල්ලෙකු 1.0	k u r u l l e k u
කුරුල්ලෙකුට 1.0	k u r u l l e k u t @
කුරුල්ලොයි 1.0	k u r u l l o y i
කුරුල්ලෝ 1.0	k u r u l l o:
කුරුලු 1.0	k u r u l u
කුරුලුගංගොඩ 1.0	k u r u l u g a x g o d @
කුරුලුගේ 1.0	k u r u l u g e:
කුරුවිට 1.0	k u r u w i t @
කුරුස 1.0	k u r u s @
කුරුසය 1.0	k u r u s @ y @
කුරුසිය 1.0	k u r u s i y @
කුරුසියේ 1.0	k u r u s i y e:
කුරුළු 1.0	k u r u l u
කුරොස 1.0	k u r o s @
කුල 1.0	k u l @
කුලකට 1.0	k u l @ k @ t @
කුලකයක 1.0	k u l @ k @ y @ k @
කුලකවල 1.0	k u l @ k @ w @ l @
කුලතිලක 1.0	k u l @ t^ i l @ k @
කුලපති 1.0	k u l @ p @ t^ i
කුලපතිවරයාගේ 1.0	k u l @ p @ t^ i w @ r @ y a: g e:
කුලප්පු 1.0	k u l a p p u
කුලපුත්‍රයාගේ 1.0	k u l @ p u t^ t^ r @ y a: g e:
කුලභේදය 1.0	k u l @ b e: d^ @ y @
කුලය 1.0	k u l @ y @
කුලයක 1.0	k u l @ y @ k @
කුලයකට 1.0	k u l @ y @ k @ t @
කුලයක් 1.0	k u l @ y a k
කුලයට 1.0	k u l @ y @ t @
කුලයත් 1.0	k u l @ y a t^
කුලයන් 1.0	k u l @ y a n
කුලයේ 1.0	k u l @ y e:
කුලරත්න 1.0	k u l @ r a t^ n @
කුලවල 1.0	k u l @ w @ l @
කුලවලට 1.0	k u l @ w @ l @ t @
කුලවාදී 1.0	k u l @ w a: d^ i:
කුල්මත් 1.0	k u l m a t^
කුලිකාරයෝ 1.0	k u l i k a: r @ y o:
කුලියට 1.0	k u l i y @ t @
කුලියෙන් 1.0	k u l i y e n
කුලී 1.0	k u l i:
කුලුණු 1.0	k u l u n u
කුලුණේ 1.0	k u l u n e:
කුලූනක් 1.0	k u l u: n a k
කුලේ 1.0	k u l e:
කුවේණි 1.0	k u w e: n i
කුවේණිගේ 1.0	k u w e: n i g e:
කුවේණිට 1.0	k u w e: n i t @
කුවේණිය 1.0	k u w e: n i y @
කුවේණී 1.0	k u w e: n i:
කුවේනියගෙන් 1.0	k u w e: n i y @ g e n
කුශල 1.0	k u s^ @ l @
කුෂ්ඨ 1.0	k u s^ t @
කුෂාණ 1.0	k u s^ a: n @
කුස 1.0	k u s @
කුසක 1.0	k u s @ k @
කුසකට 1.0	k u s @ k @ t @
කුසගින්න 1.0	k u s @ g i n n @
කුසගින්නට 1.0	k u s @ g i n n @ t @
කුසගින්නේ 1.0	k u s @ g i n n e:
කුසට 1.0	k u s @ t @
කුසපුරා 1.0	k u s @ p u r a:
කුසමත 1.0	k u s @ m @ t^ @
කුසයේ 1.0	k u s @ y e:
කුසල 1.0	k u s @ l @
කුසලං 1.0	k u s @ l a x
කුසලතා 1.0	k u s @ l @ t^ a:
කුසලතාව 1.0	k u s @ l @ t^ a: w @
කුසලතාවක් 1.0	k u s @ l @ t^ a: w a k
කුසලතාවකි 1.0	k u s @ l @ t^ a: w @ k i
කුසලතාවන් 1.0	k u s @ l @ t^ a: w a n
කුසලතාවය 1.0	k u s @ l @ t^ a: w @ y @
කුසලතාවයකි 1.0	k u s @ l @ t^ a: w @ y @ k i
කුසලතාවයට 1.0	k u s @ l @ t^ a: w @ y @ t @
කුසලතාවයන් 1.0	k u s @ l @ t^ a: w @ y a n
කුසලතාවලින් 1.0	k u s @ l @ t^ a: w @ l i n
කුසලය 1.0	k u s @ l @ y @
කුසලයක් 1.0	k u s @ l @ y a k
කුසලයට 1.0	k u s @ l @ y @ t @
කුසලයෙහි 1.0	k u s @ l @ y e h i
කුසලයේ 1.0	k u s @ l @ y e:
කුසල් 1.0	k u s a l
කුසලා 1.0	k u s @ l a:
කුසලාකුසල 1.0	k u s @ l a: k u s @ l @
කුසලාන 1.0	k u s @ l a: n @
කුසලානයක් 1.0	k u s @ l a: n @ y a k
කුසලානයටත් 1.0	k u s @ l a: n @ y @ t a t^
කුසලින් 1.0	k u s @ l i n
කුස්වල 1.0	k u s w @ l @
කුස්සිය 1.0	k u s s i y @
කුස්සියක් 1.0	k u s s i y a k
කුස්සියට 1.0	k u s s i y @ t @
කුස්සියෙන් 1.0	k u s s i y e n
කුස්සියේ 1.0	k u s s i y e:
කුසින් 1.0	k u s i n
කුසිනාරා 1.0	k u s i n a: r a:
කුසිනාරානුවර 1.0	k u s i n a: r a: n u w @ r @
කුසිනාරාව 1.0	k u s i n a: r a: w @
කුසිනාරාවෙන් 1.0	k u s i n a: r a: w e n
කුසීතකමෙන් 1.0	k u s i: t^ @ k @ m e n
කුසුම 1.0	k u s u m @
කුසුම් 1.0	k u s u m
කුසුමා 1.0	k u s u m a:
කුසෙහි 1.0	k u s e h i
කුසේ 1.0	k u s e:
කුහක 1.0	k u h @ k @
කුහකකම 1.0	k u h @ k @ k @ m @
කුහකකම්වලින් 1.0	k u h @ k @ k a m w @ l i n
කුහකත්වය 1.0	k u h @ k a t^ w @ y @
කුහකයො 1.0	k u h @ k @ y o
කුහකවෙන්න 1.0	k u h @ k @ w e n n @
කුහකෙයා් 1.0	k u h @ k e y a
කුහරය 1.0	k u h @ r @ y @
කුහරයක් 1.0	k u h @ r @ y a k
කුළියට 1.0	k u l i y @ t @
කුළු 1.0	k u l u
කුළුණ 1.0	k u l u n @
කුළුණු 1.0	k u l u n u
කුළුණුබර 1.0	k u l u n u b @ r @
කුළුණුවලට 1.0	k u l u n u w @ l @ t @
කුළුපග 1.0	k u l u p @ g @
කූජනය 1.0	k u: j @ n @ y @
කූට 1.0	k u: t @
කූඩ 1.0	k u: d @
කූඩයට 1.0	k u: d @ y @ t @
කූඩවලින් 1.0	k u: d @ w @ l i n
කූඩාරමක් 1.0	k u: d a: r @ m a k
කූඩාරම් 1.0	k u: d a: r a m
කූඩු 1.0	k u: d u
කූඩුව 1.0	k u: d u w @
කූඩුවක් 1.0	k u: d u w a k
කූඩුවට 1.0	k u: d u w @ t @
කූඩුවටවත් 1.0	k u: d u w @ t @ w a t^
කූඩුවලට 1.0	k u: d u w @ l @ t @
කූඩුවෙන් 1.0	k u: d u w e n
කූඩුවේ 1.0	k u: d u w e:
කූදන්කුලමට 1.0	k u: d^ a n k u l @ m @ t @
කූපයක් 1.0	k u: p @ y a k
කූර 1.0	k u: r @
කූරක් 1.0	k u: r a k
කූරගල 1.0	k u: r @ g @ l @
කූරා 1.0	k u: r a:
කූරෙන් 1.0	k u: r e n
කූල 1.0	k u: l @
කූල් 1.0	k u: l
කෘත 1.0	k r u t^ @
කෘතගුණ 1.0	k r u t^ @ g u n @
කෘතවේදී 1.0	k r u t^ @ w e: d^ i:
කෘතහස්ත 1.0	k r u t^ @ h a s t^ @
කෘත්‍ය 1.0	k r u t^ t^ y @
කෘත්‍යය 1.0	k r u t^ t^ y @ y @
කෘත්‍යයකර 1.0	k r u t^ t^ y @ y @ k @ r @
කෘත්‍යවාදයට 1.0	k r u t^ t^ y @ w a: d^ @ y @ t @
කෘති 1.0	k r u t^ i
කෘතිම 1.0	k r u t^ i m @
කෘතිය 1.0	k r u t^ i y @
කෘතියක 1.0	k r u t^ i y @ k @
කෘතියක් 1.0	k r u t^ i y a k
කෘතියක්ම 1.0	k r u t^ i y a k m @
කෘතියකි 1.0	k r u t^ i y @ k i
කෘතියකින් 1.0	k r u t^ i y @ k i n
කෘතියකියි 1.0	k r u t^ i y @ k i y i
කෘතියට 1.0	k r u t^ i y @ t @
කෘතියෙන් 1.0	k r u t^ i y e n
කෘතියෙහි 1.0	k r u t^ i y e h i
කෘතියේ 1.0	k r u t^ i y e:
කෘතියේදීම 1.0	k r u t^ i y e: d^ i: m @
කෘතිවල 1.0	k r u t^ i w @ l @
කෘතිවලට 1.0	k r u t^ i w @ l @ t @
කෘතිවලින් 1.0	k r u t^ i w @ l i n
කෘතීන් 1.0	k r u t^ i: n
කෘතීම 1.0	k r u t^ i: m @
කෘමි 1.0	k r u m i
කෘමිනාශක 1.0	k r u m i n a: s^ @ k @
කෘමිනාශකවල 1.0	k r u m i n a: s^ @ k @ w @ l @
කෘමියා 1.0	k r u m i y a:
කෘමියාගේ 1.0	k r u m i y a: g e:
කෘමීන් 1.0	k r u m i: n
කෘරත්වයෙන් 1.0	k r u r a t^ w @ y e n
කෘෂ 1.0	k r u s^ @
කෘෂි 1.0	k r u s^ i
කෘෂිකර්ම 1.0	k r u s^ i k a r m @
කෘෂිකර්මය 1.0	k r u s^ i k a r m @ y @
කෘෂිකර්මයත් 1.0	k r u s^ i k a r m @ y a t^
කෘෂිකර්මයේ 1.0	k r u s^ i k a r m @ y e:
කෘෂිකර්මාන්තය 1.0	k r u s^ i k a r m a: n t^ @ y @
කෘෂිකාර්මික 1.0	k r u s^ i k a: r m i k @
කෙක් 1.0	k e k
කෙක්ක 1.0	k e k k @
කෙක්කෙන් 1.0	k e k k e n
කෙකි 1.0	k e k i
කෙටවීමට 1.0	k e t @ w i: m @ t @
කෙට්ටු 1.0	k e t t u
කෙටි 1.0	k e t i
කෙටිකතා 1.0	k e t i k @ t^ a:
කෙටිකතාවක් 1.0	k e t i k @ t^ a: w a k
කෙටිකතාවෙන් 1.0	k e t i k @ t^ a: w e n
කෙටිකතාවේත් 1.0	k e t i k @ t^ a: w e: t^
කෙටිකථා 1.0	k e t i k @ t^ a:
කෙටිකර 1.0	k e t i k @ r @
කෙටිකලක් 1.0	k e t i k @ l a k
කෙටිකාලයක් 1.0	k e t i k a: l @ y a k
කෙටිම 1.0	k e t i m @
කෙටියෙන් 1.0	k e t i y e n
කෙටිලි 1.0	k e t i l i
කෙටී 1.0	k e t i:
කෙටීම 1.0	k e t i: m @
කෙටු 1.0	k e t u
කෙටුවාට 1.0	k e t u w a: t @
කෙටූ 1.0	k e t u:
කෙත 1.0	k e t^ @
කෙතකට 1.0	k e t^ @ k @ t @
කෙතකි 1.0	k e t^ @ k i
කෙතට 1.0	k e t^ @ t @
කෙතරම් 1.0	k e t^ @ r a m
කෙත් 1.0	k e t^
කෙත්වතු 1.0	k e t^ w @ t^ u
කෙතෙක් 1.0	k e t^ e k
කෙතෙරම් 1.0	k e t^ e r a m
කෙදිනක 1.0	k e d^ i n @ k @
කෙදිනකවත් 1.0	k e d^ i n @ k @ w a t^
කෙනඑ 1.0	k e n @ e
කෙනකු 1.0	k e n @ k u
කෙනකුගේ 1.0	k e n @ k u g e:
කෙනකුට 1.0	k e n @ k u t @
කෙනකුන් 1.0	k e n @ k u n
කෙනත් 1.0	k e n a t^
කෙනන් 1.0	k e n a n
කෙනයි 1.0	k e n a y i
කෙනා 1.0	k e n a:
කෙනාගෙ 1.0	k e n a: g e
කෙනාගෙන් 1.0	k e n a: g e n
කෙනාගේ 1.0	k e n a: g e:
කෙනාට 1.0	k e n a: t @
කෙනාටත් 1.0	k e n a: t a t^
කෙනාලු 1.0	k e n a: l u
කෙනාව 1.0	k e n a: w @
කෙනෙක් 1.0	k e n e k
කෙනෙක්ගෙ 1.0	k e n e k g e
කෙනෙක්ගෙන් 1.0	k e n e k g e n
කෙනෙක්ගේ 1.0	k e n e k g e:
කෙනෙක්ට 1.0	k e n e k t @
කෙනෙක්නෙ 1.0	k e n e k n e
කෙනෙක්ව 1.0	k e n e k w @
කෙනෙක්වත් 1.0	k e n e k w a t^
කෙනෙකි 1.0	k e n e k i
කෙනෙකු 1.0	k e n e k u
කෙනෙකුගෙ 1.0	k e n e k u g e
කෙනෙකුගෙන් 1.0	k e n e k u g e n
කෙනෙකුගේ 1.0	k e n e k u g e:
කෙනෙකුට 1.0	k e n e k u t @
කෙනෙකුත් 1.0	k e n e k u t^
කෙනෙකුන් 1.0	k e n e k u n
කෙනෙකුන්ට 1.0	k e n e k u n t @
කෙනෙකුයි 1.0	k e n e k u y i
කෙනෙකුව 1.0	k e n e k u w @
කෙනෙහි 1.0	k e n e h i
කෙප්ප 1.0	k e p p @
කෙබදු 1.0	k e b @ d^ u
කෙමනකි 1.0	k e m @ n @ k i
කෙම් 1.0	k e m
කෙම්පිටිය 1.0	k e m p i t i y @
කෙමෙත්ත 1.0	k e m e t^ t^ @
කෙමෙන් 1.0	k e m e n
කෙයිලන් 1.0	k e y i l a n
කෙරුණ 1.0	k e r u n @
කෙරුණට 1.0	k e r u n @ t @
කෙරුණනෙ 1.0	k e r u n @ n e
කෙරුණා 1.0	k e r u n a:
කෙරුණි 1.0	k e r u n i
කෙරුණු 1.0	k e r u n u
කෙරුණේ 1.0	k e r u n e:
කෙරුනෙ 1.0	k e r u n e
කෙරුමෙහි 1.0	k e r u m e h i
කෙරුමො 1.0	k e r u m o
කෙරුව 1.0	k e r u w @
කෙරුවා 1.0	k e r u w a:
කෙරුවානම් 1.0	k e r u w a: n a m
කෙරුවාව 1.0	k e r u w a: w @
කෙරුවාවල් 1.0	k e r u w a: w a l
කෙරුවේ 1.0	k e r u w e:
කෙරෙ 1.0	k e r e
කෙරෙත් 1.0	k e r e t^
කෙරෙත්වා 1.0	k e r e t^ w a:
කෙරෙති 1.0	k e r e t^ i
කෙරෙතියි 1.0	k e r e t^ i y i
කෙරෙන 1.0	k e r e n @
කෙරෙනවා 1.0	k e r e n @ w a:
කෙරෙනවාට 1.0	k e r e n @ w a: t @
කෙරෙන් 1.0	k e r e n
කෙරෙන්න 1.0	k e r e n n @
කෙරෙන්නකි 1.0	k e r e n n @ k i
කෙරෙන්නෙ 1.0	k e r e n n e
කෙරෙන්නේ 1.0	k e r e n n e:
කෙරෙනු 1.0	k e r e n u
කෙරෙනුයේ 1.0	k e r e n u y e:
කෙරෙමින් 1.0	k e r e m i n
කෙරෙයි 1.0	k e r e y i
කෙරෙව්වා 1.0	k e r e w w a:
කෙරෙව්වේ 1.0	k e r e w w e:
කෙරෙහි 1.0	k e r e h i
කෙරෙහිත් 1.0	k e r e h i t^
කෙරේ 1.0	k e r e:
කෙරේනම් 1.0	k e r e: n a m
කෙරේවි 1.0	k e r e: w i
කෙල 1.0	k e l @
කෙලපු 1.0	k e l @ p u
කෙලලා 1.0	k e l @ l a:
කෙලවන්න 1.0	k e l @ w a n n @
කෙලවර 1.0	k e l @ w @ r @
කෙලවරක් 1.0	k e l @ w @ r a k
කෙලවල්ලා 1.0	k e l @ w a l l a:
කෙලවිලා 1.0	k e l @ w i l a:
කෙලවී 1.0	k e l @ w i:
කෙලවෙන්නෙ 1.0	k e l @ w e n n e
කෙලවෙලා 1.0	k e l @ w e l a:
කෙල්ල 1.0	k e l l @
කෙල්ලක 1.0	k e l l @ k @
කෙල්ලක් 1.0	k e l l a k
කෙල්ලගෙන් 1.0	k e l l @ g e n
කෙල්ලගේ 1.0	k e l l @ g e:
කෙල්ලට 1.0	k e l l @ t @
කෙල්ලටත් 1.0	k e l l @ t a t^
කෙල්ලත් 1.0	k e l l a t^
කෙල්ලන් 1.0	k e l l a n
කෙල්ලන්ට 1.0	k e l l a n t @
කෙල්ලව 1.0	k e l l @ w @
කෙල්ලවයි 1.0	k e l l @ w a y i
කෙල්ලෙක් 1.0	k e l l e k
කෙල්ලෙක්ගේ 1.0	k e l l e k g e:
කෙල්ලෙක්ව 1.0	k e l l e k w @
කෙල්ලෙකු 1.0	k e l l e k u
කෙල්ලෙකුත් 1.0	k e l l e k u t^
කෙල්ලෙකුයි 1.0	k e l l e k u y i
කෙල්ලේ 1.0	k e l l e:
කෙල්ලො 1.0	k e l l o
කෙල්ලොත් 1.0	k e l l o t^
කෙල්ලෝ 1.0	k e l l o:
කෙල්ලෝන්ට 1.0	k e l l o: n t @
කෙලාම්ඕපාදූප 1.0	k e l a: m o: p a: d^ u: p @
කෙලි 1.0	k e l i
කෙලින 1.0	k e l i n @
කෙලින් 1.0	k e l i n
කෙලින්න 1.0	k e l i n n @
කෙලින්නෙ 1.0	k e l i n n e
කෙලියක් 1.0	k e l i y a k
කෙලියයි 1.0	k e l i y a y i
කෙලියේ 1.0	k e l i y e:
කෙලිල්ල 1.0	k e l i l l @
කෙලෙස 1.0	k e l e s @
කෙලෙසක 1.0	k e l e s @ k @
කෙලෙසකවත් 1.0	k e l e s @ k @ w a t^
කෙලෙසන 1.0	k e l e s @ n @
කෙලෙස් 1.0	k e l e s
කෙලෙසා 1.0	k e l e s a:
කෙලෙසින් 1.0	k e l e s i n
කෙලෙසිය 1.0	k e l e s i y @
කෙලෙසීමට 1.0	k e l e s i: m @ t @
කෙලෙසුන් 1.0	k e l e s u n
කෙලෙහිගුණ 1.0	k e l e h i g u n @
කෙවිට 1.0	k e w i t @
කෙවෙනියක් 1.0	k e w e n i y a k
කෙසකුදු 1.0	k e s @ k u d^ u
කෙස් 1.0	k e s
කෙස්ටෙවන් 1.0	k e s t e w a n
කෙසෙල් 1.0	k e s e l
කෙසෙල්වලට 1.0	k e s e l w @ l @ t @
කෙසේ 1.0	k e s e:
කෙසේනම් 1.0	k e s e: n a m
කෙසේවත් 1.0	k e s e: w a t^
කෙහෙල් 1.0	k e h e l
කෙහෙල්මල 1.0	k e h e l m @ l @
කෙළ 1.0	k e l @
කෙළවන්නේ 1.0	k e l @ w a n n e:
කෙළවර 1.0	k e l @ w @ r @
කෙළවරක 1.0	k e l @ w @ r @ k @
කෙළවරක් 1.0	k e l @ w @ r a k
කෙළවරට 1.0	k e l @ w @ r @ t @
කෙළවරෙහි 1.0	k e l @ w @ r e h i
කෙළවරේ 1.0	k e l @ w @ r e:
කෙළසනවා 1.0	k e l @ s @ n @ w a:
කෙළි 1.0	k e l i
කෙළින් 1.0	k e l i n
කෙළින්ට 1.0	k e l i n t @
කෙළින්න 1.0	k e l i n n @
කෙළින්නේ 1.0	k e l i n n e:
කෙළිය 1.0	k e l i y @
කෙළියට 1.0	k e l i y @ t @
කෙළෙමි 1.0	k e l e m i
කෙළෙස් 1.0	k e l e s
කෙළෙසී 1.0	k e l e s i:
කෙළෙහිගුණ 1.0	k e l e h i g u n @
කෙළෙහිගුණයක් 1.0	k e l e h i g u n @ y a k
කෙළේ 1.0	k e l e:
කේ 1.0	k e:
කේඒ 1.0	k e: e:
කේක් 1.0	k e: k
කේජ් 1.0	k e: j
කේජී 1.0	k e: j i:
කේත 1.0	k e: t^ @
කේතක 1.0	k e: t^ @ k @
කේතයක් 1.0	k e: t^ @ y a k
කේතුමතී 1.0	k e: t^ u m @ t^ i:
කේන්ති 1.0	k e: n t^ i
කේන්තිකාර 1.0	k e: n t^ i k a: r @
කේන්තිය 1.0	k e: n t^ i y @
කේන්තියක් 1.0	k e: n t^ i y a k
කේප්හි 1.0	k e: p h i
කේබල් 1.0	k e: b a l
කේමදාස 1.0	k e: m @ d^ a: s @
කේමදාසගේ 1.0	k e: m @ d^ a: s @ g e:
කේරළ 1.0	k e: r @ l @
කේල 1.0	k e: l @
කේලාම් 1.0	k e: l a: m
කේවළ 1.0	k e: w @ l @
කේශ 1.0	k e: s^ @
කේශධාතු 1.0	k e: s^ @ d^ a: t^ u
කේෂත්‍රයට 1.0	k e: s^ a t^ t^ r @ y @ t @
කේෂිය 1.0	k e: s^ i y @
කේස් 1.0	k e: s
කේසි 1.0	k e: s i
කේසිට 1.0	k e: s i t @
කේසේනමි 1.0	k e: s e: n @ m i
කේළමඵරුෂ 1.0	k e: l @ m @ p @ r u s^ @
කේළම් 1.0	k e: l a m
කේළාම් 1.0	k e: l a: m
කො 1.0	k o
කොංග්‍රසය 1.0	k o x g g r @ s @ y @
කොංග්‍රසයට 1.0	k o x g g r @ s @ y @ t @
කොංග්‍රසයටත් 1.0	k o x g g r @ s @ y @ t a t^
කොංග්‍රසයයි 1.0	k o x g g r @ s @ y a y i
කොංග්‍රසයේ 1.0	k o x g g r @ s @ y e:
කොංග්‍රස් 1.0	k o x g g r a s
කොක්ක 1.0	k o k k @
කොක්කකුත් 1.0	k o k k @ k u t^
කොක්කෙන් 1.0	k o k k e n
කොකා 1.0	k o k a:
කොකාකෝලා 1.0	k o k a: k o: l a:
කොකාකෝලාවලට 1.0	k o k a: k o: l a: w @ l @ t @
කොකාට 1.0	k o k a: t @
කොකාවල 1.0	k o k a: w @ l @
කොකියනවා 1.0	k o k i y @ n @ w a:
කොකිස් 1.0	k o k i s
කොකෙකු 1.0	k o k e k u
කොකෝවා 1.0	k o k o: w a:
කොග්ගල 1.0	k o g g @ l @
කොච්චර 1.0	k o c^ c^ @ r @
කොච්චරක් 1.0	k o c^ c^ @ r a k
කොච්චරක්නම් 1.0	k o c^ c^ @ r a k n a m
කොච්චි 1.0	k o c^ c^ i
කොචිචිර 1.0	k o c^ i c^ i r @
කොඣරගේ 1.0	k o j @ r @ g e:
කොට 1.0	k o t @
කොටකෙතන 1.0	k o t @ k e t^ @ n @
කොටගත් 1.0	k o t @ g a t^
කොටගම 1.0	k o t @ g @ m @
කොටගෙන 1.0	k o t @ g e n @
කොටට 1.0	k o t @ t @
කොටත් 1.0	k o t a t^
කොටන 1.0	k o t @ n @
කොටනවා 1.0	k o t @ n @ w a:
කොටන් 1.0	k o t a n
කොටන්න 1.0	k o t a n n @
කොටන්නේ 1.0	k o t a n n e:
කොටන්වලින් 1.0	k o t a n w @ l i n
කොටම 1.0	k o t @ m @
කොටමින් 1.0	k o t @ m i n
කොටය 1.0	k o t @ y @
කොටයක් 1.0	k o t @ y a k
කොටයි 1.0	k o t a y i
කොටලා 1.0	k o t @ l a:
කොටවත් 1.0	k o t @ w a t^
කොටවන 1.0	k o t @ w @ n @
කොටවන්න 1.0	k o t @ w a n n @
කොටවා 1.0	k o t @ w a:
කොටස 1.0	k o t @ s @
කොටසක 1.0	k o t @ s @ k @
කොටසකගේ 1.0	k o t @ s @ k @ g e:
කොටසකට 1.0	k o t @ s @ k @ t @
කොටසක් 1.0	k o t @ s a k
කොටසකි 1.0	k o t @ s @ k i
කොටසකින් 1.0	k o t @ s @ k i n
කොටසකුත් 1.0	k o t @ s @ k u t^
කොටසට 1.0	k o t @ s @ t @
කොටසටත් 1.0	k o t @ s @ t a t^
කොටසත් 1.0	k o t @ s a t^
කොටසයි 1.0	k o t @ s a y i
කොටස් 1.0	k o t a s
කොටස්කරුවන් 1.0	k o t a s k a r u w a n
